Ordem,Titulo,metros,Endereco,Numero,Area,Bairro,Preco,Preco_m2,Preco_m2_mean,Quartos,Banheiros,Vagas,Preco_mean,Quartos_mean,Banheiros_mean,Vagas_mean,Area_mean,center,x_stub,y_stub,OBJECTID,NOME,cod_bairro,qtde_bo,bo_per_capita,dens_pop,areaHa,pop_2010,renda_med_dom_SM_mes,lnpreco,lnrenda,rendaalta,central,grande,pequeno,n_apartamentos,lnpreco_m2,iptu_2021,itbi_2021,itbi_pc,iptu_pc,precomean_bairro,mean_quarto,zona1,zona2,zona3,zona4,zona5,zona6,zona7,zona8,zona9,zona10,n_zona,praia_belas
85,Apartamento com  Quarto a† Venda, 50m2,Avenida Mariland,1282,50,Auxiliadora,510000,10200.00,8035.39,1,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.14217,2.973998,0,1,0,0,339,9.230143,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
3032,Apartamento com 2 Quartos a† Venda, 90m2,Avenida Mariland,1476,90,Auxiliadora,699000,7766.67,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.45741,2.973998,0,1,0,0,339,8.957597,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
6315,Apartamento com 3 Quartos a† Venda, 86m2,Avenida Nova York,261,86,Auxiliadora,239000,2779.07,8035.39,3,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.38422,2.973998,0,1,0,0,339,7.929872,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
7421,Apartamento com  Quarto a† Venda, 43m2,Avenida Nova York,205,43,Auxiliadora,590000,13720.93,8035.39,1,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.28788,2.973998,0,1,0,0,339,9.526678,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
3570,Apartamento com 3 Quartos a† Venda, 83m2,Avenida Nova York,365,83,Auxiliadora,340000,4096.39,8035.39,3,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.7367,2.973998,0,1,0,0,339,8.317861,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3492,Apartamento com 3 Quartos a† Venda, 105m2,Avenida Nova York,211,105,Auxiliadora,550000,5238.10,8035.39,3,3,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.21767,2.973998,0,1,0,0,339,8.563713,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3694,Apartamento com 3 Quartos a† Venda, 86m2,Avenida Nova York,261,86,Auxiliadora,239000,2779.07,8035.39,3,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.38422,2.973998,0,1,0,0,339,7.929872,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
6183,Apartamento com 2 Quartos a† Venda, 74m2,Avenida Nova York,117,74,Auxiliadora,380000,5135.14,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.84793,2.973998,0,1,0,0,339,8.543861,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
3552,Apartamento com 3 Quartos a† Venda, 105m2,Avenida Nova York,211,105,Auxiliadora,550000,5238.10,8035.39,3,3,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.21767,2.973998,0,1,0,0,339,8.563713,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
3510,Apartamento com 3 Quartos a† Venda, 83m2,Avenida Nova York,365,83,Auxiliadora,340000,4096.39,8035.39,3,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.7367,2.973998,0,1,0,0,339,8.317861,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
4486,Apartamento com 2 Quartos a† Venda, 74m2,Avenida Nova York,205,74,Auxiliadora,1150000,15540.54,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.95527,2.973998,0,1,0,0,339,9.651207,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
9490,Apartamento com  Quarto a† Venda, 43m2,Avenida Nova York,9999,43,Auxiliadora,645933,15021.70,8035.39,1,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.37845,2.973998,0,1,0,0,339,9.617251,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
7191,Apartamento com  Quarto a† Venda, 43m2,Avenida Nova York,205,43,Auxiliadora,590000,13720.93,8035.39,1,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.28788,2.973998,0,1,0,0,339,9.526678,16002122.72,8353440.1,836.60,1602.616,946051.9,531523.1,0,0,0,0,0,0,0,1,0,0,8,0
6492,Apartamento com 3 Quartos a† Venda, 86m2,Avenida Nova York,261,86,Auxiliadora,239000,2779.07,8035.39,3,2,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.38422,2.973998,0,1,0,0,339,7.929872,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
867,Apartamento com 2 Quartos a† Venda, 99m2,Avenida Plenio Brasil Milano,409,99,Auxiliadora,358000,3616.16,8035.39,2,2,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.78829,2.973998,0,1,0,0,339,8.193169,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
1826,Apartamento com 2 Quartos a† Venda, 77m2,Avenida Plenio Brasil Milano,9999,77,Auxiliadora,439900,5712.99,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.9943,2.973998,0,1,0,0,339,8.650497,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
2243,Apartamento com 2 Quartos a† Venda, 69m2,Avenida Plenio Brasil Milano,455,69,Auxiliadora,290000,4202.90,8035.39,2,1,2,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.57764,2.973998,0,1,0,0,339,8.34353,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
5406,Apartamento com 2 Quartos a† Venda, 84m2,Avenida Plenio Brasil Milano,409,84,Auxiliadora,310000,3690.48,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.64433,2.973998,0,1,0,0,339,8.213511,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
5538,Apartamento com 2 Quartos a† Venda, 84m2,Avenida Plenio Brasil Milano,409,84,Auxiliadora,310000,3690.48,8035.39,2,1,0,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.64433,2.973998,0,1,0,0,339,8.213511,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
3362,Apartamento com 3 Quartos a† Venda, 105m2,Rua Artur Rocha,335,105,Auxiliadora,580000,5523.81,8035.39,3,1,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,13.27078,2.973998,0,1,0,0,339,8.616823,16002122.72,8353440.1,836.60,1602.616,946051.9,1297417,0,0,0,0,0,0,0,1,0,0,8,0
6941,Apartamento com 2 Quartos a† Venda, 70m2,Rua Artur Rocha,10,70,Auxiliadora,409900,5855.71,8035.39,2,2,1,946051.90,2.4129794,2.298,1.493,70.333,58,281549.1,1677570,1236,AUXILIADORA,4,770,771,121.8,82,9985,19.57,12.92367,2.973998,0,1,0,0,339,8.675173,16002122.72,8353440.1,836.60,1602.616,946051.9,611540.5,0,0,0,0,0,0,0,1,0,0,8,0
