"","Ordem","Titulo","Endereco","Numero","Bairro","Area","Quartos","Banheiros","Vagas","Preco","Preco_m2","cod_bairro","qtde_bo","bo_per_capita","idadedobairro","dens_pop","areaHa","pop_2010","renda_med_dom_SM_mes","lnpreco","idade2","lnrenda","rendaalta","central","grande","pequeno","novo","counter"
"5176",9488,"Apartamento com  Quarto a  Venda, 60m2","sem info",9999,"Passo da Areia",60,1,2,1,389000,6483.33333333333,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.8713350296021,3969,2.29857707023621,0,0,0,0,0,329
"5177",2520,"Apartamento com 3 Quartos a  Venda, 67m2","Rua Sape",1020,"Passo da Areia",67,3,2,1,564932,8431.82089552239,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.2444610595703,3969,2.29857707023621,0,0,0,0,0,329
"5178",8679,"Apartamento com 3 Quartos a  Venda, 77m2","Avenida Joao Wallig",695,"Passo da Areia",77,3,2,1,380000,4935.06493506493,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.8479261398315,3969,2.29857707023621,0,0,0,0,0,329
"5179",1610,"Apartamento com 2 Quartos a  Venda, 59m2","sem info",9999,"Passo da Areia",59,2,1,1,198000,3355.93220338983,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.1960220336914,3969,2.29857707023621,0,0,0,0,0,329
"5180",6432,"Apartamento com  Quarto a  Venda, 27m2","sem info",9999,"Passo da Areia",27,1,1,0,283888,10514.3703703704,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.5563354492188,3969,2.29857707023621,0,0,0,1,0,329
"5181",3941,"Apartamento com 2 Quartos a  Venda, 112m2","Rua Acelio Daudt",30,"Passo da Areia",112,2,2,2,1277000,11401.7857142857,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,14.0600242614746,3969,2.29857707023621,0,0,0,0,0,329
"5182",1483,"Apartamento com 2 Quartos a  Venda, 55m2","Avenida Francisco Trein",116,"Passo da Areia",55,2,2,1,449900,8180,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.0167808532715,3969,2.29857707023621,0,0,0,0,0,329
"5183",357,"Apartamento com 2 Quartos a  Venda, 60m2","Avenida Grecia",1000,"Passo da Areia",60,2,2,2,499000,8316.66666666667,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.120361328125,3969,2.29857707023621,0,0,0,0,0,329
"5184",5570,"Apartamento com 3 Quartos a  Venda, 106m2","Rua Jari",359,"Passo da Areia",106,3,3,2,1190000,11226.4150943396,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.9894638061523,3969,2.29857707023621,0,0,0,0,0,329
"5185",5439,"Apartamento com 3 Quartos a  Venda, 106m2","Rua Jari",359,"Passo da Areia",106,3,3,2,1190000,11226.4150943396,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.9894638061523,3969,2.29857707023621,0,0,0,0,0,329
"5186",9258,"Apartamento com 2 Quartos a  Venda, 71m2","sem info",9999,"Passo da Areia",71,2,1,2,495000,6971.83098591549,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.1123132705688,3969,2.29857707023621,0,0,0,0,0,329
"5187",6724,"Apartamento com 3 Quartos a  Venda, 98m2","sem info",9999,"Passo da Areia",98,3,1,2,920000,9387.75510204082,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.7321290969849,3969,2.29857707023621,0,0,0,0,0,329
"5188",5847,"Apartamento com 3 Quartos a  Venda, 128m2","Rua Cipo",1075,"Passo da Areia",128,3,2,1,744000,5812.5,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.51979637146,3969,2.29857707023621,0,0,0,0,0,329
"5189",7539,"Apartamento com 3 Quartos a  Venda, 165m2","Rua Roque Calage",9999,"Passo da Areia",165,3,4,3,1399000,8478.78787878788,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,14.1512680053711,3969,2.29857707023621,0,0,0,0,0,329
"5190",6036,"Apartamento com 3 Quartos a  Venda, 87m2","Avenida Grecia",1100,"Passo da Areia",87,3,2,1,750000,8620.68965517241,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.5278282165527,3969,2.29857707023621,0,0,0,0,0,329
"5191",2064,"Apartamento com 3 Quartos a  Venda, 86m2","Avenida Joao Wallig",620,"Passo da Areia",86,3,2,2,740000,8604.6511627907,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,13.5144052505493,3969,2.29857707023621,0,0,0,0,0,329
"5192",559,"Apartamento com  Quarto a  Venda, 42m2","sem info",9999,"Passo da Areia",42,1,1,1,250000,5952.38095238095,4314902050,1950,844.777541913963,63,94.6,244,23083,9.96,12.4292163848877,3969,2.29857707023621,0,0,0,0,0,329
